,Tweet,Sentimen
1,bersihkan kpu dari praktek demokrasi kotor,-1
2,anak kelas ll mts bobol situs kpu pemilu 2019 hoax hati  karena  kejadian tersebut tahun 2017,-1
3,kpuid bawasluri mantap,1
4,ya itu 02 nya gak legowo sama hasil situng kalo emng yg kalah nya legowo kayak pas pilgub dki aman,0
5,kalo liat timeline kpu sih bakal tabrakan hehe,-1
6, komplek mega permai 1  mana suaranya kesalahan input kpu di tps 5 kelurahan padang sarai komplek mega permai 1 kota pada,-1
9, tps 10 gerung utara kec gerung lombok barat ntb input di web kpu tidak sesuai dengan c1 asli yang janggal adalah c1,-1
10, ini  malah lebih dahsyat salah inputnya,-1
11, kesalahan kpu input data 5 formulir c1 itu manusiawi,1
12, kpuid nih sedikit bocoran nya,0
13, saya tidak salahkan kpuid kpu saya pertanyakan komisi ii dpr yang memilih manusia goblok kayak gini jadi komisioner kpu,-1
15, rakyat surabaya menuntut suara mereka yang sudah dirampok inilah hasil dari kecurangan yang dibiarkan rakyat pun melawan mereka merin,-1
16, pemilu kali ini gak beres tidak cuma situngnya yang gak beres rekap perkabupaten juga gak beres otomatis hasilnya gak be,-1
17, tolak narasi kecurangan pmii gelar aksi dukung kpu dan bawaslu,1 
22, kpkri aduh pak bap nya udah di revisi kirain cuma situng kpu aja yang bisa direvisi bener sem,-1
25, relawan prabowo minta situng kpu dihentikan,-1
28, kab muara enim sumsel 123783 suara  227333 suara,0 
29, kota binjai sumatra utara 3588  6412,0
30, sang profokator sejati,-1
31, kab sawahlunto sumbar 7077 suara 1842   31341 suara 8158,0
32, sesuai kicauan kami belum lama ini pakar itb sebut situng dikendalikan intruder kami sebut itu berasal dari depan gambir,-1
33, kab muna sulawesi tenggara 40640 suara  384  70370 suara 616  pleno kpu dulang suara hingga 616 persen,-1
34, ibarat 2 orang di kasih jatah makan trus yang 1 nya makan sbagian jatah orang lain itu apa namanya dasar rakus,-1
35, kami tidak akan tunduk kepada 01 dan 02 dan siapa pun kpu hanya bertunduk kepada undang wahyu setiawan komisioner,1
36, berani tidak ya kpuid bawasluri,-1
37, lambungkan ini gaess  agar kpuid bisa tersadar akan kekeliruannya serta mau di kritik dan memperbaiki diri dari kekuran,-1
38, kpu situng bikin gaduh buat apa dipertahankan,-1
39, kpuid tambah lama tambah bangke kpu nya,-1
40, dukungan dan kecintaan kami untuk indonesia adil dan makmur biar tidak ada kecurangan  untuk pemilu kedepannya jangan,1
41, bpn prabowo serahkan bukti dugaan kecurangan di situng kpu ke bawaslu ada 73715 dugaan kecurangan,1
42, agusyudhoyono sebelumnya pan bertemu dengan jokow ditengah kecurangan kpu yang massif yang tersisa gerindra,-1
43, yang ini mungkin si,0
44, bubarkan,-1
45, buktikan lah pendukung 02 juga masih punya ilmu politik walau dikit langsung ngegas gitu,1
46, kpuid ini yang harus tidak terjadi ini yang di hawatirkan seharusnya kpu hanya komputer bisa cuma,-1
47, malu ahoc dan jarot kalah di dki pemilu juga kalah di dki makanya pingin pindah padahal gak punya duit isu,0
48, press release jakarta 3 mei 2019 relawan it bpn  melaporkan hasil verifikasi data aplikasi penghitungan suara,0
49, hariman siregar perasaan saya prabowo akan menang 73715 pelanggaran merugikan 02 situng kpu lakukan kesalahan,-1
50, fadli zon yakin banget kesalahan entri data situng kpu karena kecurangan,-1
51, kpuid anjir jihad,-1
52, resmi bpn prabowosandi laporkan kpu dan lembaga survei ke bawaslu,-1  
54, ditanya soal ijtima ulama 3 mahfud md bukan hubungan dengan kpu tapi dengan bawaslu melalui bpn,0
55, situng kpuid erorr kok dipercaya min,-1
56, cuma mau bilang kalian para lembaga survey bayaran yang mengatur quick count adil yang paling bertanggungjawab atas kericuhan,0
57, pariaman 4200 suara 82   47042 suara 918,0
59, tidak ada pernyataan duka citasimpati atas kejadian ini dari jokowi jancuk,0
60, situng kpu dinilai tambah kacau dan brutal,-1
62, guru besar ui 4 hal kpu sudah tidak layak jadi penentu hasil pemilu,-1
63, situng kpu disusupi c1 palsu suara untuk jokowi di medan bertambah belum selesai kekhawatiran akibat belasan ribu human error,-1
67, jejak digital itu abadi,0
68, lama tak nongol romy sampaikan selamat kepada kpu yang telah laksanakan pemilu dengan jurdil,1
69, 02 menang telak di jawa barat 70   jawa timur 51   dan dki 53    banten 60  dan aceh 90   padang 87  ntb  59   jambi,0
70, kejahatan oknum kpu kembali terjadi di tps 10 gerung utara yang di upload c 1 palsu untuk memenangkan paslon 01,-1 
72, woy kpuid dan,0
73, insya allah senin besok mulai puasa ramadhan bersama ini saya mohon maaf lahir batin semoga kita semua bisa menjalankan,0
74, habib rizieq menilai real count bisa berbahaya dan membentuk opini salah di masyarakat,0
78, kpu mengatakan situng kpu tidak dijadikan sebagai patokan yang dijadikan patokan adalah hitung manual kalau tidak,1
79, kpuid demokrat dan pan melenggang menghadap jokowi yang tersisa di 02  gerindra dan pks,0
80, setiap fungsionaris lembaga penyelenggara pemilu tak perlu mengomentari sesuatu yang sesuatu itu berpotensi mengundang,0
82, hari ini di jakarta 3 mei 2019 relawan it bpn prabowo sandiuno melapor ke kpuid ke bawasluri mereka menemukan,-1
84, agusyudhoyono hati banyak pengalihan isu fokus ke kinerja kpu lengah dikit tewas kita,-1 
85, press release penyerahan bukti 73000 lebih kesalahan input situng kpuid yg diterima oleh bawaslu,-1
87, lagipula kan udah menang 02 kenapa buat tagar politik lagi kenapa masih ngawasin situng kpu kenapa,0
88, kejahatan rezim jokowi dan kpuid pada pemilu lebih parah daripada kejahatan pki brutal tapi nyangkal jahat berkedok,-1
91, situng dikendalikan intruder pakar itb usul kpu hentikan penghitungan suara,-1
93, ada yang bisa jelaskan kpuid prov  jawa barat kota kab  kota sukabumi kec  lembursitu kel  situmekar tps17,0
94, sudah 2x kami ke bawaslu menyerahkan bukti kecurangan pemilu termasuk meminta bawaslu untuk melihat proses input data di kpu,-1
95, penipuan yang dilakukan oleh kpu adalah kesalahan manusia atau tatanan manusia yang sangat besar dan terstruktur,-1
96, luar biasa tim it bpn 02  temukan 73715 kesalahan input data situng kpuid bukti sudah diserahkan ke bawasluri kesal,-1
99, kembalikan indonesia kami pemilu terburuk sepanjang sejarah dunia,-1
100, berbeda itulah demokrasi tapi bangsa indonesia paling tak suka ketidak adilan seperti fraud  kecurangan inkompetensi,-1
101,kaum dungu koor berjamaah mari tertawa ala karniilyas yukk enak jadi dungu,0
102,ya saran itu betul bang tapi masalahnya yang sebelah mulai meradang abangku kepanikan sudah tidak bisa di tutup,0
103, viralkan yok bawa bukti 73000 lebih kesalahan input situng kpu it bpn desak bawasluri hentikan situng kpuid,-1
104,bawa bukti 73 ribu lebih kesalahan input relawan it bpn desak bawaslu hentikan situng kpu,-1
105,kab jombang jawa timur 615972 suara  187763 suara,0 
107, bukan cuma situng kpu yang direvisi bap juga direvisi hehehe banyak yang ajaib sejak rezim ini berkuasa  ,-1
108, terbaru hasil real count kpu pilpres 2019 jokowi vs prabowo hari ini jumat 3 mei data masuk 63 jokowimaruf 5594,0
110, pemikir5 lantas siapa yang bertanggung jawab atas semua ini bang mereka kok bisa lulus menjdi kpu sedang tugasnya,-1
111, forensik ada mayat dimana ,-1
113, pantesan klo kamvrets itu tidak pintar ga enak bilang dungu itu knp data belum tersedia karena sedang diperbaiki sama kpu,1
115, seolah olah 02 terzolimi dasar kampret mereka ga sadar ini era digital,0
116, hasil pilpres tetap akan diputuskan kpu walau tidak ditandatangani saksi 02,0
117, bukannya ada hampir 100000 salah input,-1
119, potret kecurangan bpn prabowosandi terstruktur sistimatis dan masif bawasluri kpuid  saksi prabowo,-1
120, kpu salah input suara jokowimaruf membengkak di johor baru ,-1
121, saksi prabowosandi tidak mau tanda tangan di berita acara hasil rekapitulasi kpu kota blitar padahal mereka tidak menemukan,0
122, bpn prabowosandi laporkan kpu dan lembaga survei ke bawaslu,-1
123, sepanjang pleno rekapitulasi kpu cianjur 150 peserta periksa kesehatan  antara news jawa barat,0
124, ternyata ruang kpu cuma macam kantor kalurahan sempit dan peralatan gak memadai 25t cuma dihargai segitu,-1
125, kpuid kpu nya emang pekok bin bahlul,-1
126, kpkri spertinya harus memeriksa kpuid semoga banyak yang ketangkep amin ,-1
127, hukum dan kpuid mantap,1
128, hadiri acara silaturahmi dan rekonsiliasi  pasca pemilihan umum 2019 kab gunungkidul dan dim,0
130, video awasi situng saran dan masukan agar diawasi dan cek berulang data situng dengan entri,0
131, kpuid data di tampilan depan belum diperbaiki tetapi begitu dibuka eh data belum tersedia bikin naik,-1
132, hampir semua orang melihat ada kecurangan bawaslu juga sudah mengakui ada kecurangan dan ketidak netralan ribuan kpps,-1
133, curang cureng curang cureng,-1
140, si eta,0
141, hasil pleno kpu rl prabowo tetap ungguli jokowi,0
142, ketularan kpu ya prof,-1
143, kpuid admin sadarlah,-1
144, situng kpu soal capres jokowi unggul 5610 persen,0
145, apa kpuid dah lihat,0
146, tak ada kapok dan malu nya kpuid ini sudah diberitakan di media mainstream masih saja,-1 
147, sabtu pagi ini 45 hasil perhitungan sementara  via kawalpemilu2019 6153 dan situng kpuid 65,0
149, nih hati hati kpu,0   
151, situng kpuid kacau dan brutal dajjalkah kopi pagi akhir syaban sruputan nikmat sambut ramadhan smoga dajjal,-1
152, langkah sinergi terjalin melalui suluh kebangsaan oleh para tokoh serta turut diwujudkan oleh kpuid,1
153, team it kpu kelupaan mengedit dan merubah data perolehan suara sistim hitung cepat di tgl 30 april 2019 pukul 08 45 wib,-1
154, kalau salah input terus siapa yang  percaya  situng kpu,-1
155, kpu bagian dari tkn,-1
156, ketua kpu sebut data situng kpu bukan hasil resmi lah jadi untuk apa trus kenapa begitu lama hanya untuk penggiringan,-1
157, kpuid lebih pilih pake jam yg pake jarum  yg digital takut dirubah  maghrib 5 47  takut jd 6 47,-1
158, be smart netizen  telah beredar berita hoax terkait broadcast di media chat whatsapp dengan isi konten gila  terny,0
159, bpn laporkan kpu dan lembaga survei kebawaslu,-1
161, semoga kalian segera,0
162, pulang dari kunjungi kpuid prof jadi ketularan kesalahan input,-1
165, kpuid andre cebong anjing,-1
166, ya di hitung sendiri pak ustad klu gak percaya kpu,1
167, bukannya ada hampir 100000 ,0
168, gawat banyak surat suara yang di coblos oleh setan kpu tidak mau mnyelesaikannya harus melalui mk kpu hanya input data,-1
171, kpuid jangan dari pemilu sebelumnya memang begini modelnya jadi mereka anggap biasa saja,-1
174, menurut saya nahi munkar itu seperti di foto ini mas kalau memang ada kecurangan ya,0
175, tps 18 desa rabasan kec kedundung kab sam,0
176, press release penyerahan bukti 73000 lbh kesalahan input situng kpuid yg diterima oleh bawas,0
177, dahsyat tim it prabowo laporkan 73715 kesalahan input ke bawaslu buktibukti yang ada menunjukkan kpuid bertindak,-1
178, hukum dan kpuid cebong bangsat,-1
179, kpuid saya paham yang itungannya mulai kalah banyak seperti mau sabotase pemilu setiap kesalahan dianggap curang,1
180, gilee benersitung dikendalikan intruder berfungsi mengubah data untuk disesuaikan dgn qc dan pusatnya di gambir pakar,-1
181, kpu mengatakan situng kpu tidak dijadikan sebagai patokan yang dijadikan patokan adalah hitung manual kalau tidak di,0
