,Unnamed: 0,Tweet,Scores
0,1,anak kelas bobol situs kpu pemilu hoax hati jadi sebut tahun,1.0
1,2,kpuid bawasluri mantap,1.0
2,3,legowo sama hasil situng emng kalah legowo pilgub dki aman,1.0
3,4,liat timeline kpu bakal tabrak hehe,-1.0
4,5,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1.0
5,6,tps gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c,-1.0
6,7,malah lebih dahsyat salah inputnya,-1.0
7,8,salah kpu input data formulir c manusiawi,-1.0
8,9,kpuid sedikit bocor,-1.0
9,10,salah kpuid kpu tanya komisi ii dpr pilih manusia goblok gini jadi komisioner kpu,-1.0
10,11,rakyat surabaya tuntut suara dirampok inilah hasil curang dibiar rakyat lawan,-1.0
11,12,pemilu kali beres situngnya beres rekap kabupaten beres otomatis hasilnya be,-1.0
12,13,tolak narasi curang pmii gelar aksi dukung kpu bawaslu,-1.0
13,14,kpkri bap udah revisi situng kpu direvisi bener sem,1.0
14,18,sang profokator jati,-1.0
15,20,suai kicau lama pakar itb sebut situng dikendali intruder sebut asal depan gambir,-1.0
16,22,ibarat kasih jatah ma trus ma jatah namanya dasar rakus,-1.0
17,26,kpu situng gaduh buat ditahan,-1.0
18,28,dukung cinta indonesia adil makmur curang pemilu kedepannya jangan,1.0
19,29,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1.0
20,30,temu jokow ditengah curang kpu massif sisa gerindra,-1.0
21,31,bukti dukung punya ilmu politik dikit langsung ngegas gitu,-1.0
22,40,situng kpuid erorr dicaya,-1.0
23,41,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1.0
24,43,nyata duka citasimpati atas jadi jokowi jancuk,1.0
25,44,situng kpu dinilai tambah kacau brutal,-1.0
26,45,guru besar ui kpu layak jadi hasil pemilu,1.0
27,46,situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error,-1.0
28,48,lama nongol romy sampai selamat kpu laksana pemilu jurdil,1.0
29,49,menang telak jawa barat jawa timur dki banten aceh padang ntb jambi,1.0
30,50,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1.0
31,52,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1.0
32,53,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1.0
33,54,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1.0
34,55,kpuid demokrat melenggang hadap jokowi sisa gerindra pks,-1.0
35,56,tiap fungsionaris lembaga selenggara pemilu lu komentar suatu suatu potensi undang,1.0
36,58,hati banyak alih isu fokus kinerja kpu lengah dikit tewas,-1.0
37,59,press release serah bukti lebih salah input situng kpuid diima bawaslu,-1.0
38,61,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1.0
39,63,jelas kpuid prov jawa barat kota kota sukabumi lembursitu kel situmekar tps,1.0
40,64,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1.0
41,66,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1.0
42,67,kembali indonesia pemilu buruk panjang sejarah dunia,-1.0
43,68,beda demokrasi bangsa indonesia paling suka ketidak adilan fraud curang inkompetensi,-1.0
44,69,kaum dungu koor berjamaah tawa ala karniilyas yukk enak jadi dungu,-1.0
45,70,saran betul bang masalahnya belah mulai radang abangku panik tutup,-1.0
46,71,viral yok bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti situng kpuid,-1.0
47,72,bawa bukti ribu lebih salah input relawan it bpn desak bawaslu henti situng kpu,-1.0
48,74,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1.0
49,75,baru hasil real count kpu pilpres jokowi vs prabowo hari jumat mei data masuk jokowimaruf,1.0
50,76,pikir lantas siapa bertanggung jawab atas semua bang lulus menjdi kpu sedang tugasnya,1.0
51,77,forensik mayat,-1.0
52,78,pantesan klo kamvrets pintar enak bilang dungu data sedia sedang dibaiki sama kpu,1.0
53,81,bunya hampir salah input,-1.0
54,82,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1.0
55,83,kpu salah input suara jokowimaruf bengkak johor baru,-1.0
56,84,saksi prabowosandi tanda tangan berita acara hasil rekapitulasi kpu kota blitar padahal temu,1.0
57,85,bpn prabowosandi lapor kpu lembaga survei bawaslu,-1.0
58,87,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1.0
59,88,kpuid kpu emang pekok bahlul,-1.0
60,90,hukum kpuid mantap,1.0
61,91,hadiri acara silaturahmi rekonsiliasi pasca pilih umum gunungkidul dim,1.0
62,92,video awasi situng saran masuk diawasi cek ulang data situng entri,1.0
63,93,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1.0
64,94,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1.0
65,95,curang curang,-1.0
66,97,tular kpu prof,-1.0
67,99,situng kpu soal capres jokowi unggul sen,1.0
68,101,kapok malu kpuid diberita media mainstream,-1.0
69,102,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1.0
70,103,hati hati kpu,1.0
71,104,situng kpuid kacau brutal dajjalkah kopi pagi akhir syaban sruputan nikmat sambut ramadhan smoga dajjal,-1.0
72,105,langkah sinergi jalin lalu suluh bangsa tokoh turut diwujud kpuid,1.0
73,107,kalau salah input us siapa caya situng kpu,-1.0
74,111,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1.0
75,112,bpn lapor kpu lembaga survei kebawaslu,-1.0
76,113,moga kalian segera,1.0
77,114,pulang kunjungi kpuid prof jadi tular salah input,-1.0
78,115,kpuid cebong anjing,-1.0
79,118,gawat banyak surat suara coblos setan kpu mnyelesainya lalu mk kpu input data,-1.0
80,122,press release serah bukti lbh salah input situng kpuid diima bawas,-1.0
81,123,dahsyat tim it prabowo lapor salah input bawaslu buktibukti tunjuk kpuid tindak,-1.0
82,124,hukum kpuid cebong bangsat,-1.0
83,126,benersitung dikendali intruder fungsi ubah data disesuai dgn qc pusatnya gambir pakar,-1.0
84,127,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1.0
85,129,kata kpu caya kalau kambing ngeong kamu caya,-1.0
86,130,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1.0
87,131,bpn tanya hitung suara kpu,1.0
88,133,kpuid selamat buat rakyat apatis,-1.0
89,134,selamat pagi semua jadi acu bukti bawasluri kpuid,1.0
90,136,akhir tivi arab diwakili aljazera berita bentuk curang jadi pilpres gimana,-1.0
91,138,masyaallah iknya matahari surabaya henti langkah masyakat suara benar tuntut adil,1.0
92,139,ngigau ni nyoblos dasar tug hoax,-1.0
93,140,kpuid nyata sekelas kpuid seleranya akun bokep penghina rosululloh,-1.0
94,141,bubar kpuid isinya sampah dapur,-1.0
95,142,jakarta proses hitung suara hasil pilih presiden cara real count,1.0
96,143,kpuid bawasluri kejar imbang quickcount tv,1.0
97,144,cucu diri nu gus aam tantang kpu sumpah mubahalah bukti curang,-1.0
