,Tweet,Score,Prediksi
0,dari wag rt rw soal pa anis klw ke kemangbangka datang nya hanya ke mesjid mesjid gak banjir oh gitu,-1.0,-1.0
1,video hujan saat tinjau korban banjir jokowi pakai jas hujan kresek rp10 ribu,-1.0,-1.0
2,sby nilai bupati lebak iti jayabaya punya rasa tanggung jawab dan empati yang tinggi sby mengimb,-1.0,-1.0
3,dari orba reformasi neo reformasi sampai orba 40 kartun ttg sebab banjir mungkin selalu sama narasi orang duga,-1.0,-1.0
4,makanya jaga bacot lo dennysiregar7 kemarin lo bilang kirim bu risma ke jkt soal banjir pasti beres noh jawab,-1.0,-1.0
5,mana kita hari selasa teman2 aliansi ada yg berhari2 ga kerjaada yg ninggalin pacar sama keluarga ada yg sampai,1.0,-1.0
6,muslim muin anggota tgupp bentuk wan zigzag betul singkat tangkap air rumah sy banjir tampung sementara a,-1.0,-1.0
7,dulu lbh jakarta kritis hadap jokowi lbh jakarta jadi tanggung jawab aksi cor kaki yg tinggal dunia saat demo ganja,-1.0,-1.0
8,nenek 71 th tinggal dlm rumah sendiri di green ville blok bn pas banjir kemaren viralkan biar sampai ke mendagri pak,-1.0,-1.0
9,guntur romli edan anies baswedan sebar hoax kemang tidak banjir gubernur dki jakarta anies b,-1.0,-1.0
10,anjarduta halo saya bencana bot untuk lapor banjir di sekitar sila balas dengan,-1.0,-1.0
11,tito sebut mukim puncak bogor sebab banjir jabodetabek pak kalo bikin statement kordinasi dulu sama buzzerbuzzer m,1.0,1.0
12,siang malam buzzerp dan curut2nya sibuk nyalahin aniesbaswedan karena banjir yang janji jadi presiden bisa atas b,1.0,1.0
13,feryna22 hai guna link ini untuk menginput lokasi banjir terang amp foto,-1.0,-1.0
14,korban tewas akibat banjir banyak di jabar kok ridwan kamil nggak dibully,-1.0,-1.0
15,sobri80965387 ilctv1 karniilyas pea loh penting jiwasraya lah skala indonesia sedang tema yg anda sarank,1.0,-1.0
16,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
17,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
18,saya datang untuk pasti butuh warga dampak bencana penuh sebab bencana banjir bandang di lebak seperti pe,1.0,1.0
19,dokumen rusak rendam banjir tak usah panik kini kamu bisa restorasi dokumen yang rendam banjir seperti ijazah,-1.0,-1.0
20,nonton tv banjir buka wa banjir buka ig banjir buka dompet kering,1.0,-1.0
21,masih tinggi curah hujan yang jadi di jabodetabek buat badan kaji dan terap teknologi bppt ber,1.0,-1.0
22,shyyouu banjir di jkt yg bkin galau sih klo beneran menang wkwkwk yg kek gin tu automenang,-1.0,-1.0
23,anies baswedan gagal tangan banjir dki,-1.0,-1.0
24,polling rakyat kait rencana warga dki jakarta gugat anies baswedan untuk ganti rugi banji,-1.0,-1.0
25,mashedpotahoess halo saya bencana bot untuk lapor banjir di sekitar sila balas dengan,-1.0,-1.0
26,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
