,Tweet,Scores
0,reynaldybgskr halo saya bencana bot untuk lapor banjir di sekitar sila balas dengan,-1.0
1,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0
2,warga korban banjir siap gugat perintah lanjut lbh saja sebut ini sangat dasar karena tidak ada sistem ingat,-1.0
3,dengan pindah ibukota ke kalimantan rezim sdg ubah kalimantan jadi jakarta dua yg di kalimantan bersiap2l,-1.0
4,tips bersih rumah usai banjir a thread,1.0
5,korban tewas akibat banjir banyak di jabar kok ridwan kamil nggak dibully,-1.0
6,mantan gub dki sutiyoso 2002 kena banjir yg parah 2007 tapi banjir yg skrg jaman gubernur aniesbaswedan paling ekstrim,-1.0
7,1 minggu di 2020 banjir jabodetabek bakar hutan australia natuna world war 3 reynhard sinaga wew,-1.0
8,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0
9,chchotimah rizmawidiono hei bong gempa lombok intuh bencana nasional ya wajar masyarakat minta ganti rugi ke,-1.0
10,tito sebut mukim puncak bogor sebab banjir jabodetabek pak kalo bikin statement kordinasi dulu sama buzzerbuzzer m,1.0
11,sadar ini main setan knp kalian tdk sekali gugat presiden krn dia sebab bangun ugal2an atau knp kal,-1.0
12,gabener gugat 1 triliun tim advokasi korban banjir jakartabeberkan kesalahangubernurdkijakarta aniesyang dian,-1.0
13,dulu lbh jakarta kritis hadap jokowi lbh jakarta jadi tanggung jawab aksi cor kaki yg tinggal dunia saat demo ganja,-1.0
14,gubernur bodoh nyerah belum kekeh ngibul sana sini tipu warga dki hingga banjir seperti tsunami makan bany,-1.0
15,partaiperindo juang untuk anak2 yg kena banjir,-1.0
16,korban tewas akibat banjir banyak di jabar kok ridwan kamil nggak dibully,-1.0
17,kemenhub ungkap sebab banjir tol cikampek proyek kereta cepat netizen proyek kereta cepat harus henti karena bi,1.0
18,siang malam buzzerp dan curut2nya sibuk nyalahin aniesbaswedan karena banjir yang janji jadi presiden bisa atas b,1.0
19,berkalikali saya sampai tak usah banding jokowi dgn gabener dki ndak aple to aple tapi aple to dos foto pres,-1.0
20,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0
21,rickyhf hahahah bayang klo dia tinjau lokasi banjir bandang pake jas ujan gituan trus naik pelampung dari ba,-1.0
22,1 minggu di 2020 banjir jabodetabek bakar hutan australia natuna world war 3 reynhard sinaga wew,-1.0
23,aku ada di2020 dan awal banjir dijakarta bakar diaustralia isu world war 3 kasus reynhard sinaga natuna dan,-1.0
24,tito sebut mukim puncak bogor sebab banjir jabodetabek pak kalo bikin statement kordinasi dulu sama buzzerbuzzer m,1.0
25,beneran kayak parasite kalau dipikirpikir jakarta banjir dan timpang yang nyata,-1.0
26,1 minggu di 2020 banjir jabodetabek bakar hutan australia natuna world war 3 reynhard sinaga wew,-1.0
27,siang malam buzzerp dan curut2nya sibuk nyalahin aniesbaswedan karena banjir yang janji jadi presiden bisa atas b,1.0
28,gubernur bodoh nyerah belum kekeh ngibul sana sini tipu warga dki hingga banjir seperti tsunami makan bany,-1.0
29,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
30,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
31,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
32,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0
33,ini surat dari tim advokasi banjir mohon untuk sebar kpd yg kena musibah barangkali ingin minta ganti rugi,-1.0
34,siang malam buzzerp dan curut2nya sibuk nyalahin aniesbaswedan karena banjir yang janji jadi presiden bisa atas b,1.0
35,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
36,saya datang untuk pasti butuh warga dampak bencana penuh sebab bencana banjir bandang di leba,1.0
37,wilayah kemang jaksel jadi salah satu daerah yang landa banjir pada awal tahun 2020 namun aniesbaswedan sempat meny,-1.0
38,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
39,layan darurat israel temu dua wargayang jebak banjirdalam lift di buah gedung wilayah tel aviv selatan sem,-1.0
40,salur air kampung yg guna trashblock nyaring sampah untuk cegah sumbat salur dan banjir,-1.0
41,jadi ini hestek gimana dong tito sebut mukim puncak bogor sebab banjir jabodetabek,1.0
42,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
43,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
44,waktu di ilc saya tidak akan jawab kata dengan perkataantapi saya akan jawab tanya sebut dengan kerja,-1.0
45,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
46,korban tewas akibat banjir banyak di jabar kok ridwan kamil nggak dibully netizen karena ridwan kamil adalah main,-1.0
47,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
48,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
49,salh satu tampak pintu manggarai tumpu sampah yang gunung ni bukti nyata pak jokowi benar adanyajgn,-1.0
50,kemendagriri dprddkijakarta dprddki dkijakarta berani 300 rb lebih petisi,1.0
51,update 61 67 tinggal 36419 ungsi butuh saat ini terpal selimut tikar pakai ganti hyg,-1.0
52,wagimandeep tolol macam apa ini banjir ko minta ganti rugi di jabar dan banten korban banyak knpa kli,-1.0
53,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0
54,salah satu desa yg lewat rawan pks bogor saat tuju lokasi isolir dampak banjir bandang di kp sarongge desa cisarua,-1.0
55,siang malam buzzerp dan curut2nya sibuk nyalahin aniesbaswedan karena banjir yang janji jadi presiden bisa atas b,1.0
56,banjir tol japek basuki aku drainase tutup proyek kereta cepat salah bang aniesbaswedan l,-1.0
57,ayooo kisanak kita berpratisipasi jadi rumah kita bagai perangkap air jebak air biar gak keluar rumah dan bi,-1.0
58,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
59,share gugat class action korban banjir dki jakarta di tahun 2020 pemprov dki amp anies baswedan nilai lalai amp tidak,-1.0
60,di hidup ini tak ada yg abadi dinamis berubah2 impermanence seringkali kita perlu tampar nyata dulu ag,-1.0
61,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0
62,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
63,ndrews1162011 avatarcs999 qshareina sandalista1789 alfiracahyo msaiddidu gmgm psiid ya lu tolol mana a,-1.0
64,halo sobat polri ini dia tips untuk kurang risiko sakit akibat banjir jaga sehat segera sih diri d,-1.0
65,jokowi semangat pak jokowi sehat selalu buat yg dampak banjir moga cpt pulih,1.0
66,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0
67,kasus jiwasraya mereka coba salah sby kasus banjir jabodetabek3 provinsi mereka salah dan bully anies kasus,-1.0
