,Tweet,Scores
0,kpuid bawasluri mantap,1
1,legowo sama hasil situng emng kalah legowo pilgub dki aman,1
12,kpkri bap udah revisi situng kpu direvisi bener sem,1
17,dukung cinta indonesia adil makmur curang pemilu kedepannya jangan,1
22,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1
23,nyata duka citasimpati atas jadi jokowi jancuk,1
25,guru besar ui kpu layak jadi hasil pemilu,1
27,lama nongol romy sampai selamat kpu laksana pemilu jurdil,1
28,menang telak jawa barat jawa timur dki banten aceh padang ntb jambi,1
30,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1
34,tiap fungsionaris lembaga selenggara pemilu lu komentar suatu suatu potensi undang,1
38,jelas kpuid prov jawa barat kota kota sukabumi lembursitu kel situmekar tps,1
47,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1
48,baru hasil real count kpu pilpres jokowi vs prabowo hari jumat mei data masuk jokowimaruf,1
49,pikir lantas siapa bertanggung jawab atas semua bang lulus menjdi kpu sedang tugasnya,1
51,pantesan klo kamvrets pintar enak bilang dungu data sedia sedang dibaiki sama kpu,1
55,saksi prabowosandi tanda tangan berita acara hasil rekapitulasi kpu kota blitar padahal temu,1
59,hukum kpuid mantap,1
60,hadiri acara silaturahmi rekonsiliasi pasca pilih umum gunungkidul dim,1
61,video awasi situng saran masuk diawasi cek ulang data situng entri,1
62,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1
66,situng kpu soal capres jokowi unggul sen,1
68,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1
69,hati hati kpu,1
71,langkah sinergi jalin lalu suluh bangsa tokoh turut diwujud kpuid,1
75,moga kalian segera,1
85,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1
86,bpn tanya hitung suara kpu,1
88,selamat pagi semua jadi acu bukti bawasluri kpuid,1
90,masyaallah iknya matahari surabaya henti langkah masyakat suara benar tuntut adil,1
94,jakarta proses hitung suara hasil pilih presiden cara real count,1
95,kpuid bawasluri kejar imbang quickcount tv,1
98,moga babinsa jauh lebih jujur kpu bekualitas,1
101,selesai baiki,1
104,bocah kelas i masuk database katanya security data utamanya aman gimana ahli kira ruang penting kpu,1
106,prabowo mas sandiuno tetap semangat safari beri semangat ucap ima kasih dukung,1
107,pleno kpu kuningan rini sujiyanti kalah oni suara calon dpd ri,1
112,situng kpu sabtu pagi lihat jokowimaruf unggul sen,1
114,betul bang kalau bu people power kpu bakal ngakui salah,1
115,lihat pemilu pilpres uras anggar sangat besar capai rp triliun mirisnya,1
119,kunjung prabowosandi aceh raya syukur menang bpn prabowosandi bawaslu bahas curang it situng kpu,1
121,real count kpu sen jokowimaruf unggul sekira juta suara,1
127,bpn prabowo sandi halal macam cara menang walaupun posisi kalah cara biadab dilaku,1
130,like kpuid,1
132,propinsi aceh hasil rapat pleno kip kpu tingkat kota aceh utk pilpres siapakah kuat kota banda,1
143,server kpu rasa warnet,1
146,enak ngomong ngademin beresin kpu sby tinggal bilang jujur sby kaya anak,1
148,cuman laksana intah hr pakai alas segala situng kpu bermasalah,1
149,baru medan sumut jateng jatim bali lebih gila jateng wow jujur,1
151,moga tugas sengaja pangkas suara dipangkas umurnya dipangkas rezekinya amin,1
155,situng kpu sabtu pagi lihat jokowimaruf unggul sen,1
162,lemhannas minta semua pihak paksa kpu,1
165,apresiasi khusus presiden tokohtokoh nasional atas laksana pemilu raya cara,1
166,banyak data suai c prodem minta situng kpu dihenti,1
167,stop situng kpu pola hitung manual disaksi publik cara buk,1
171,tunggu situng kpu sby imbau semua pihak tahan diri,1
172,ketua pbnu cayai hasil hitung kpu,1
174,situng kpu bu hitung menang pilpres hitung manual dianggap sah kpu,1
175,kpu ri bawaslu selidik sbenarnya tuju harap dibalik,1
176,c dibikin rangkap dg isi data sama tanda tangan cara sah masing saksi diberika satu,1
177,kpu pangkalpinang selesai rekapitulasi tujuhkecamatan,1
178,sukses buat kpu selenggara pemilu lancar jujur buat,1
181,jokowi kpuid mesti takut bunya udah menang paham sama kalian wkwk,1
185,udah buzer kpu ri bersih dulu kpu sekarang dukung,1
186,tolak people power aliansi mahasiswa bandung siap kawal kpu,1
187,kpuid eits hati moga ngetuitnya ikhlas,1
188,moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang,1
193,abotan bekas warnet sekarang disimpan tor kpu bangga tunjuk abotan rasa malu uang,1
196,situng kpu baru capai sen,1
200,kerja mu kek gitu,1
204,bang karni buya kpu te pihak manapun,1
205,pakai etika sedikit sabar sedikit hasil kpu umum kasih,1
207,asal ngemeng tong kemarin tantang,1
209,penting rakyat penting golong turut beberapa lembaga survey,1
210,update baru hasil real count kpu pagi mei suara masuk,1
212,uji benar ima rc kpuid main aman oportunist capek,1
