,Stemmed
0,bersihkan kpu praktek demokrasi kotor 
1,anak kelas bobol situs kpu pemilu  hoax hati   jadi sebut tahun 
2,kpuid bawasluri mantap 
3, legowo sama hasil situng emng kalah legowo pilgub dki aman 
4,liat timeline kpu bakal tabrak hehe 
5, komplek mega permai  mana suaranya salah input kpu tps  lurah padang sarai komplek mega permai  kota 
6, tps  gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c 
7,  malah lebih dahsyat salah inputnya 
8, salah kpu input data  formulir c manusiawi 
9, kpuid sedikit bocor 
10, salahkan kpuid kpu pertanyakan komisi ii dpr pilih manusia goblok gini jadi komisioner kpu 
11, rakyat surabaya tuntut suara dirampok inilah hasil curang dibiarkan rakyat lawan 
12, pemilu kali beres situngnya beres rekap perkabupaten beres otomatis hasilnya be 
13, tolak narasi curang pmii gelar aksi dukung kpu bawaslu 
14, kpkri bap udah revisi situng kpu direvisi bener sem 
15, relawan prabowo minta situng kpu dihentikan 
16, muara enim sumsel  suara  suara 
17, kota binjai sumatra utara  
18, sang profokator jati 
19, sawahlunto sumbar  suara  suara 
20, suai kicau lama pakar itb sebut situng dikendalikan intruder sebut asal depan gambir 
21, muna sulawesi tenggara  suara  suara  pleno kpu dulang suara hingga  persen 
22, ibarat  kasih jatah makan trus  makan jatah namanya dasar rakus 
23, tunduk   siapa kpu bertunduk undang komisioner 
24, berani kpuid bawasluri 
25, lambungkan  kpuid sadar keliru kritik baik diri kekuran 
26, kpu situng gaduh buat dipertahankan 
27, kpuid tambah lama tambah bangke kpu 
28, dukung cinta indonesia adil makmur curang  pemilu kedepannya jangan 
29, bpn prabowo serahkan bukti duga curang situng kpu bawaslu  duga curang 
30, temu jokow ditengah curang kpu massif sisa gerindra 
31, buktikan dukung  punya ilmu politik dikit langsung ngegas gitu 
32, kpuid jadi hawatirkan kpu komputer 
33, malu ahoc jarot kalah dki pemilu kalah dki makanya pingin pindah padahal punya duit isu 
34, press release jakarta  mei  relawan it bpn  lapor hasil verifikasi data aplikasi hitung suara 
35, hariman rasa prabowo menang  langgar rugi  situng kpu lakukan salah 
36, zon yakin banget salah entri data situng kpu curang 
37, kpuid anjir jihad 
38, resmi bpn prabowosandi laporkan kpu lembaga survei bawaslu 
39, ditanya soal ijtima ulama  mahfud md bukan hubung kpu bawaslu lalu bpn 
40, situng kpuid erorr dipercaya 
41, bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh 
42, pariaman  suara  suara 
43, nyata duka citasimpati atas jadi jokowi jancuk 
44, situng kpu dinilai tambah kacau brutal 
45, guru besar ui  kpu layak jadi hasil pemilu 
46, situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error 
47, jejak digital abadi 
48, lama nongol romy sampaikan selamat kpu laksanakan pemilu jurdil 
49, menang telak jawa barat  jawa timur  dki  banten  aceh  padang  ntb  jambi 
50, jahat oknum kpu jadi tps  gerung utara upload c  palsu menang paslon 
51, woy kpuid 
52, insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan 
53, habib rizieq nilai real count bahaya bentuk opini salah masyarakat 
54, kpu kata situng kpu dijadikan bagai patok dijadikan patok hitung manual kalau 
55, kpuid demokrat melenggang hadap jokowi sisa  gerindra pks 
56, tiap fungsionaris lembaga selenggara pemilu perlu komentar suatu suatu potensi undang 
57, hari jakarta  mei  relawan it bpn prabowo sandiuno lapor kpuid bawasluri temu 
58, hati banyak alih isu fokus kinerja kpu lengah dikit tewas 
59, press release serah bukti  lebih salah input situng kpuid diterima bawaslu 
60, lagipula udah menang  buat tagar politik ngawasin situng kpu 
61, jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok 
62, situng dikendalikan intruder pakar itb usul kpu hentikan hitung suara 
63, jelaskan kpuid prov  jawa barat kota  kota sukabumi  lembursitu kel  situmekar tps 
64, x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu 
65, tipu dilakukan kpu salah manusia tatanan manusia sangat besar struktur 
66, luar biasa tim it bpn  temukan  salah input data situng kpuid bukti diserahkan bawasluri kesal 
67, kembalikan indonesia pemilu terburuk panjang sejarah dunia 
68, beda demokrasi bangsa indonesia paling suka ketidak adilan fraud  curang inkompetensi 
69,kaum dungu koor berjamaah tawa ala karniilyas yukk enak jadi dungu 
70,saran betul bang masalahnya belah mulai radang abangku panik tutup 
71, viralkan yok bawa bukti  lebih salah input situng kpu it bpn desak bawasluri hentikan situng kpuid 
72,bawa bukti  ribu lebih salah input relawan it bpn desak bawaslu hentikan situng kpu 
73,jombang jawa timur  suara  suara 
74, bukan situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa  
75, baru hasil real count kpu pilpres  jokowi vs prabowo hari jumat  mei data masuk  jokowimaruf 
76, pikir lantas siapa bertanggung jawab atas semua bang lulus menjdi kpu sedang tugasnya 
77, forensik mayat 
78, pantesan klo kamvrets pintar enak bilang dungu data sedia sedang diperbaiki sama kpu 
79, olah  terzolimi dasar kampret sadar era digital 
80, hasil pilpres tetap diputuskan kpu ditandatangani saksi 
81, bukannya hampir  salah input 
82, potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid  saksi prabowo 
83, kpu salah input suara jokowimaruf bengkak johor baru 
84, saksi prabowosandi tanda tangan berita acara hasil rekapitulasi kpu kota blitar padahal temu 
85, bpn prabowosandi laporkan kpu lembaga survei bawaslu 
86, panjang pleno rekapitulasi kpu cianjur  periksa sehat  news jawa barat 
87, nyata ruang kpu macam kantor kalurahan sempit alat t dihargai segitu 
88, kpuid kpu emang pekok bahlul 
89, kpkri spertinya periksa kpuid moga banyak ketangkep amin 
90, hukum kpuid mantap 
91, hadiri acara silaturahmi rekonsiliasi  pasca pilih umum  gunungkidul dim 
92, video awasi situng saran masuk diawasi cek ulang data situng entri 
93, kpuid data tampilan depan diperbaiki dibuka eh data sedia naik 
94, hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps 
95, curang curang 
96, hasil pleno kpu rl prabowo tetap ungguli jokowi 
97, tular kpu prof 
98, kpuid admin sadarlah 
99, situng kpu soal capres jokowi unggul  persen 
100, kpuid lihat 
101, kapok malu kpuid diberitakan media mainstream 
102, sabtu pagi  hasil hitung  via kawalpemilu  situng kpuid 
103, hati hati kpu 
