,Kata
0,murah
1,musnah
2,putar
3,memutarbalikkan
4,putus
5,tabrak
6,tahan
7,takut
8,tampar
9,tanam
10,menang
11,tarik
12,kembali
13,perhati
14,cabut
15,caci
16,cair
17,mencampuradukkan
18,campur
19,cap
20,cekik
21,cela
22,cari
23,cemas
24,cemooh
25,cibir
26,cicit
27,cium
28,ciut
29,"mencla-mencle
"
30,colok
31,copot
32,cubit
33,curi
34,curiga
35,dadak
36,dakwa
37,deklamasi
38,derita
39,desak
40,desis
41,didih
42,distorsi
43,tegur
44,tekan
45,tel
46,tentang
47,tetes
48,abai
49,abur
50,acak
51,acau
52,kalah
53,alih
54,amputasi
55,amuk
56,ancam
57,aniaya
58,kata
59,kebiri
60,kecam
61,kecewa
62,kecil
63,ejan
64,ejek
65,mengejuntukan
66,kejut
67,eksploitasi
68,keluar
69,keluh
70,kelupas
71,embara
72,emis
73,endap
74,kepung
75,erang
76,keras
77,kerdil
78,keri
79,ering
80,erti
81,kerut
82,kesal
83,gagal
84,ganggu
85,ganti
86,gantung
87,garuk
88,garut
89,gasak
90,gelap
91,gelegar
92,gelepar
93,menggeliat
94,geli
95,gelisah
96,gempar
97,gentar
98,gerak
99,geram
100,gerenyet
101,gerogot
102,gertak
103,gerutu
104,gigil
105,gigit
106,gila
107,giling
108,goda
109,goyang
110,gugat
111,gugur
112,guling
113,gusar
114,hadap
115,halang
116,halau
117,hambat
118,hancur
119,hantu
120,hapus
121,hasut
122,heboh
123,heran
124,hilang
125,hina
126,hindar
127,hujat
128,igau
129,kikis
130,indoktrinasi
131,ingkar
132,injak
133,intai
134,intimidasi
135,intip
136,isap
137,khawatir
138,khianat
139,kritik
140,oceh
141,oles
142,olok
143,omel
144,korban
145,kotor
146,oyak
147,uap
148,kuasa
149,umpat
150,kurang
151,undur
152,kurang
153,uras
154,usir
155,kutuk
156,tiada
157,tidur
158,timbul
159,benci
160,timpa
161,tindas
162,tinggal
163,tingkat
164,tinju
165,tipu
166,menit
167,panas
168,jarah
169,jatuh
170,jauh
171,jelek
172,jemu
173,jengkel
174,jerat
175,jerit
176,jijik
177,jiplak
178,noda
179,tohok
180,tolak
181,tonjol
182,mentah
183,tuduh
184,tumbang
185,tumpah
186,tunda
187,tunduk
188,tuntut
189,turun
190,tusuk
191,tutup
192,saing
193,sakit
194,nyala
195,menyalahgunakan
196,salah
197,sangkal
198,sangsi
199,sapa
200,sayat
201,sebal
202,sedih
203,selinap
204,sembunyi
205,sengat
206,sentak
207,serah
208,seram
209,serang
210,serbu
211,seret
212,sali
213,sesal
214,sesat
215,nyiakan
216,sihir
217,siksa
218,silau
219,simpang
220,sindir
221,singgung
222,solok
223,sombong
224,sumbat
225,sumpah
226,susah
227,susup
228,susut
229,racun
230,ragu
231,rajalela
232,rajuk
233,rampas
234,merana
235,rancang
236,rangsang
237,jijik
238,rata
239,ratap
240,raup
241,rayap
242,rebut
243,remas
244,remeh
245,rencana
246,rendah
247,rengek
248,renung
249,repet
250,resah
251,retas
252,merinding
