,Tweet,Scores
3,liat timeline kpu bakal tabrak hehe,-1.0
4,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1.0
5,tps gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c,-1.0
6,malah lebih dahsyat salah inputnya,-1.0
7,salah kpu input data formulir c manusiawi,-1.0
8,kpuid sedikit bocor,-1.0
9,salah kpuid kpu tanya komisi ii dpr pilih manusia goblok gini jadi komisioner kpu,-1.0
10,rakyat surabaya tuntut suara dirampok inilah hasil curang dibiar rakyat lawan,-1.0
11,pemilu kali beres situngnya beres rekap kabupaten beres otomatis hasilnya be,-1.0
12,tolak narasi curang pmii gelar aksi dukung kpu bawaslu,-1.0
14,sang profokator jati,-1.0
15,suai kicau lama pakar itb sebut situng dikendali intruder sebut asal depan gambir,-1.0
16,ibarat kasih jatah ma trus ma jatah namanya dasar rakus,-1.0
17,kpu situng gaduh buat ditahan,-1.0
19,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1.0
20,temu jokow ditengah curang kpu massif sisa gerindra,-1.0
21,bukti dukung punya ilmu politik dikit langsung ngegas gitu,-1.0
22,situng kpuid erorr dicaya,-1.0
25,situng kpu dinilai tambah kacau brutal,-1.0
27,situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error,-1.0
30,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1.0
32,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1.0
33,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1.0
34,kpuid demokrat melenggang hadap jokowi sisa gerindra pks,-1.0
36,hati banyak alih isu fokus kinerja kpu lengah dikit tewas,-1.0
37,press release serah bukti lebih salah input situng kpuid diima bawaslu,-1.0
38,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1.0
40,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1.0
41,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1.0
42,kembali indonesia pemilu buruk panjang sejarah dunia,-1.0
43,beda demokrasi bangsa indonesia paling suka ketidak adilan fraud curang inkompetensi,-1.0
44,kaum dungu koor berjamaah tawa ala karniilyas yukk enak jadi dungu,-1.0
45,saran betul bang masalahnya belah mulai radang abangku panik tutup,-1.0
46,viral yok bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti situng kpuid,-1.0
47,bawa bukti ribu lebih salah input relawan it bpn desak bawaslu henti situng kpu,-1.0
51,forensik mayat,-1.0
53,bunya hampir salah input,-1.0
54,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1.0
55,kpu salah input suara jokowimaruf bengkak johor baru,-1.0
57,bpn prabowosandi lapor kpu lembaga survei bawaslu,-1.0
58,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1.0
59,kpuid kpu emang pekok bahlul,-1.0
64,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1.0
65,curang curang,-1.0
66,tular kpu prof,-1.0
68,kapok malu kpuid diberita media mainstream,-1.0
71,situng kpuid kacau brutal dajjalkah kopi pagi akhir syaban sruputan nikmat sambut ramadhan smoga dajjal,-1.0
73,kalau salah input us siapa caya situng kpu,-1.0
74,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1.0
75,bpn lapor kpu lembaga survei kebawaslu,-1.0
77,pulang kunjungi kpuid prof jadi tular salah input,-1.0
78,kpuid cebong anjing,-1.0
79,gawat banyak surat suara coblos setan kpu mnyelesainya lalu mk kpu input data,-1.0
80,press release serah bukti lbh salah input situng kpuid diima bawas,-1.0
