,Tweet,Scores
0,anak kelas bobol situs kpu pemilu hoax hati jadi sebut tahun,1.0
1,kpuid bawasluri mantap,1.0
2,legowo sama hasil situng emng kalah legowo pilgub dki aman,1.0
13,kpkri bap udah revisi situng kpu direvisi bener sem,1.0
18,dukung cinta indonesia adil makmur curang pemilu kedepannya jangan,1.0
23,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1.0
24,nyata duka citasimpati atas jadi jokowi jancuk,1.0
26,guru besar ui kpu layak jadi hasil pemilu,1.0
28,lama nongol romy sampai selamat kpu laksana pemilu jurdil,1.0
29,menang telak jawa barat jawa timur dki banten aceh padang ntb jambi,1.0
31,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1.0
35,tiap fungsionaris lembaga selenggara pemilu lu komentar suatu suatu potensi undang,1.0
39,jelas kpuid prov jawa barat kota kota sukabumi lembursitu kel situmekar tps,1.0
48,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1.0
49,baru hasil real count kpu pilpres jokowi vs prabowo hari jumat mei data masuk jokowimaruf,1.0
50,pikir lantas siapa bertanggung jawab atas semua bang lulus menjdi kpu sedang tugasnya,1.0
52,pantesan klo kamvrets pintar enak bilang dungu data sedia sedang dibaiki sama kpu,1.0
56,saksi prabowosandi tanda tangan berita acara hasil rekapitulasi kpu kota blitar padahal temu,1.0
60,hukum kpuid mantap,1.0
61,hadiri acara silaturahmi rekonsiliasi pasca pilih umum gunungkidul dim,1.0
62,video awasi situng saran masuk diawasi cek ulang data situng entri,1.0
63,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1.0
67,situng kpu soal capres jokowi unggul sen,1.0
69,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1.0
70,hati hati kpu,1.0
72,langkah sinergi jalin lalu suluh bangsa tokoh turut diwujud kpuid,1.0
76,moga kalian segera,1.0
86,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1.0
87,bpn tanya hitung suara kpu,1.0
89,selamat pagi semua jadi acu bukti bawasluri kpuid,1.0
91,masyaallah iknya matahari surabaya henti langkah masyakat suara benar tuntut adil,1.0
95,jakarta proses hitung suara hasil pilih presiden cara real count,1.0
96,kpuid bawasluri kejar imbang quickcount tv,1.0
99,moga babinsa jauh lebih jujur kpu bekualitas,1.0
102,selesai baiki,1.0
105,bocah kelas i masuk database katanya security data utamanya aman gimana ahli kira ruang penting kpu,1.0
107,prabowo mas sandiuno tetap semangat safari beri semangat ucap ima kasih dukung,1.0
108,pleno kpu kuningan rini sujiyanti kalah oni suara calon dpd ri,1.0
112,situng kpu sabtu pagi lihat jokowimaruf unggul sen,1.0
114,betul bang kalau bu people power kpu bakal ngakui salah,1.0
115,lihat pemilu pilpres uras anggar sangat besar capai rp triliun mirisnya,1.0
119,kunjung prabowosandi aceh raya syukur menang bpn prabowosandi bawaslu bahas curang it situng kpu,1.0
121,real count kpu sen jokowimaruf unggul sekira juta suara,1.0
127,bpn prabowo sandi halal macam cara menang walaupun posisi kalah cara biadab dilaku,1.0
130,like kpuid,1.0
132,propinsi aceh hasil rapat pleno kip kpu tingkat kota aceh utk pilpres siapakah kuat kota banda,1.0
143,server kpu rasa warnet,1.0
146,enak ngomong ngademin beresin kpu sby tinggal bilang jujur sby kaya anak,1.0
148,cuman laksana intah hr pakai alas segala situng kpu bermasalah,1.0
149,baru medan sumut jateng jatim bali lebih gila jateng wow jujur,1.0
151,moga tugas sengaja pangkas suara dipangkas umurnya dipangkas rezekinya amin,1.0
155,situng kpu sabtu pagi lihat jokowimaruf unggul sen,1.0
162,lemhannas minta semua pihak paksa kpu,1.0
165,apresiasi khusus presiden tokohtokoh nasional atas laksana pemilu raya cara,1.0
166,banyak data suai c prodem minta situng kpu dihenti,1.0
167,stop situng kpu pola hitung manual disaksi publik cara buk,1.0
171,tunggu situng kpu sby imbau semua pihak tahan diri,1.0
172,ketua pbnu cayai hasil hitung kpu,1.0
174,situng kpu bu hitung menang pilpres hitung manual dianggap sah kpu,1.0
175,kpu ri bawaslu selidik sbenarnya tuju harap dibalik,1.0
176,c dibikin rangkap dg isi data sama tanda tangan cara sah masing saksi diberika satu,1.0
177,kpu pangkalpinang selesai rekapitulasi tujuhkecamatan,1.0
178,sukses buat kpu selenggara pemilu lancar jujur buat,1.0
181,jokowi kpuid mesti takut bunya udah menang paham sama kalian wkwk,1.0
185,udah buzer kpu ri bersih dulu kpu sekarang dukung,1.0
186,tolak people power aliansi mahasiswa bandung siap kawal kpu,1.0
187,kpuid eits hati moga ngetuitnya ikhlas,1.0
188,moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang,1.0
193,abotan bekas warnet sekarang disimpan tor kpu bangga tunjuk abotan rasa malu uang,1.0
196,situng kpu baru capai sen,1.0
199,kerja mu kek gitu,1.0
203,bang karni buya kpu te pihak manapun,1.0
204,pakai etika sedikit sabar sedikit hasil kpu umum kasih,1.0
206,asal ngemeng tong kemarin tantang,1.0
208,penting rakyat penting golong turut beberapa lembaga survey,1.0
209,update baru hasil real count kpu pagi mei suara masuk,1.0
211,uji benar ima rc kpuid main aman oportunist capek,1.0
