,Tweet,Stemmed,Sentimen
0,bersihkan kpu dari praktek demokrasi kotor,bersihkan kpu praktek demokrasi kotor ,-1
1,anak kelas ll mts bobol situs kpu pemilu  hoax hati  karena  kejadian tersebut tahun ,anak kelas bobol situs kpu pemilu  hoax hati   jadi sebut tahun ,-1
2,kpuid bawasluri mantap,kpuid bawasluri mantap ,1
3,kalo liat timeline kpu sih bakal tabrakan hehe,liat timeline kpu bakal tabrak hehe ,-1
4, komplek mega permai   mana suaranya kesalahan input kpu di tps  kelurahan padang sarai komplek mega permai  kota pada, komplek mega permai  mana suaranya salah input kpu tps  lurah padang sarai komplek mega permai  kota ,-1
5, tps  gerung utara kec gerung lombok barat ntb input di web kpu tidak sesuai dengan c asli yang janggal adalah c, tps  gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c ,-1
6, ini  malah lebih dahsyat salah inputnya,  malah lebih dahsyat salah inputnya ,-1
7, kesalahan kpu input data  formulir c itu manusiawi, salah kpu input data  formulir c manusiawi ,1
8, saya tidak salahkan kpuid kpu saya pertanyakan komisi ii dpr yang memilih manusia goblok kayak gini jadi komisioner kpu, salahkan kpuid kpu pertanyakan komisi ii dpr pilih manusia goblok gini jadi komisioner kpu ,-1
9, rakyat surabaya menuntut suara mereka yang sudah dirampok inilah hasil dari kecurangan yang dibiarkan rakyat pun melawan mereka merin, rakyat surabaya tuntut suara dirampok inilah hasil curang dibiarkan rakyat lawan ,-1
10, pemilu kali ini gak beres tidak cuma situng yang gak beres rekap perkabupaten juga gak beres otomatis hasilnya gak be, pemilu kali beres situng beres rekap perkabupaten beres otomatis hasilnya be ,-1
11, tolak narasi kecurangan pmii gelar aksi dukung kpu dan bawaslu, tolak narasi curang pmii gelar aksi dukung kpu bawaslu ,1
12, kpkri aduh pak bap nya udah di revisi kirain cuma situng kpu aja yang bisa direvisi bener sem, kpkri bap udah revisi situng kpu direvisi bener sem ,-1
13, relawan prabowo minta situng kpu dihentikan, relawan prabowo minta situng kpu dihentikan ,-1
14, sang profokator sejati, sang profokator jati ,-1
15, sesuai kicauan kami belum lama ini pakar itb sebut situng dikendalikan intruder kami sebut itu berasal dari depan gambir, suai kicau lama pakar itb sebut situng dikendalikan intruder sebut asal depan gambir ,-1
16, kab muna sulawesi tenggara  suara     suara   pleno kpu dulang suara hingga  persen, muna sulawesi tenggara  suara  suara  pleno kpu dulang suara hingga  persen ,-1
17, ibarat  orang di kasih jatah makan trus yang  nya makan sbagian jatah orang lain itu apa namanya dasar rakus, ibarat  kasih jatah makan trus  makan jatah namanya dasar rakus ,-1
18, kami tidak akan tunduk kepada  dan  dan siapa pun kpu hanya bertunduk kepada undang wahyu setiawan komisioner, tunduk   siapa kpu bertunduk undang komisioner ,1
19, berani tidak ya kpuid bawasluri, berani kpuid bawasluri ,-1
20, lambungkan ini gaess  agar kpuid bisa tersadar akan kekeliruannya serta mau di kritik dan memperbaiki diri dari kekuran, lambungkan  kpuid sadar keliru kritik baik diri kekuran ,-1
21, kpu situng bikin gaduh buat apa dipertahankan, kpu situng gaduh buat dipertahankan ,-1
22, kpuid tambah lama tambah bangke kpu nya, kpuid tambah lama tambah bangke kpu ,-1
23, dukungan dan kecintaan kami untuk indonesia adil dan makmur biar tidak ada kecurangan  untuk pemilu kedepannya jangan, dukung cinta indonesia adil makmur curang  pemilu kedepannya jangan ,1
24, bpn prabowo serahkan bukti dugaan kecurangan di situng kpu ke bawaslu ada  dugaan kecurangan, bpn prabowo serahkan bukti duga curang situng kpu bawaslu  duga curang ,1
25, agusyudhoyono sebelumnya pan bertemu dengan jokowi ditengah kecurangan kpu yang massif yang tersisa gerindra, temu jokowi ditengah curang kpu massif sisa gerindra ,-1
26, buktikan lah pendukung  juga masih punya ilmu politik walau dikit langsung ngegas gitu, buktikan dukung  punya ilmu politik dikit langsung ngegas gitu ,1
27, kpuid ini yang harus tidak terjadi ini yang di hawatirkan seharusnya kpu hanya komputer bisa cuma, kpuid jadi hawatirkan kpu komputer ,-1
28, hariman siregar perasaan saya prabowo akan menang  pelanggaran merugikan  situng kpu lakukan kesalahan, hariman rasa prabowo menang  langgar rugi  situng kpu lakukan salah ,-1
29, fadlizon yakin banget kesalahan entri data situng kpu karena kecurangan, fadlizon yakin banget salah entri data situng kpu curang ,-1
30, kpuid anjir jihad, kpuid anjir jihad ,-1
31, resmi bpn prabowo sandiaga laporkan kpu dan lembaga survei ke bawaslu, resmi bpn prabowo sandiaga laporkan kpu lembaga survei bawaslu ,-1
32, situng kpuid erorr kok dipercaya min, situng kpuid erorr dipercaya ,-1
33, situng kpu dinilai tambah kacau dan brutal, situng kpu dinilai tambah kacau brutal ,-1
34, guru besar ui  hal kpu sudah tidak layak jadi penentu hasil pemilu, guru besar ui  kpu layak jadi hasil pemilu ,-1
35, situng kpu disusupi c palsu suara untuk jokowi di medan bertambah belum selesai kekhawatiran akibat belasan ribu human error, situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error ,-1
36, lama tak nongol romy sampaikan selamat kepada kpu yang telah laksanakan pemilu dengan jurdil, lama nongol romy sampaikan selamat kpu laksanakan pemilu jurdil ,1
37, kejahatan oknum kpu kembali terjadi di tps  gerung utara yang di upload c  palsu untuk memenangkan paslon , jahat oknum kpu jadi tps  gerung utara upload c  palsu menang paslon ,-1
38, kpu mengatakan situng kpu tidak dijadikan sebagai patokan yang dijadikan patokan adalah hitung manual kalau tidak, kpu kata situng kpu dijadikan bagai patok dijadikan patok hitung manual kalau ,1
39, hari ini di jakarta  mei  relawan it bpn prabowo sandiaga melapor ke kpuid ke bawasluri mereka menemukan, hari jakarta  mei  relawan it bpn prabowo sandiaga lapor kpuid bawasluri temu ,-1
40, hati banyak pengalihan isu fokus ke kinerja kpu lengah dikit tewas kita, hati banyak alih isu fokus kinerja kpu lengah dikit tewas ,-1
41, press release penyerahan bukti  lebih kesalahan input situng kpuid yg diterima oleh bawaslu, press release serah bukti  lebih salah input situng kpuid diterima bawaslu ,-1
42, kejahatan rezim jokowi dan kpuid pada pemilu lebih parah daripada kejahatan pki brutal tapi nyangkal jahat berkedok, jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok ,-1
43, situng dikendalikan intruder pakar itb usul kpu hentikan penghitungan suara, situng dikendalikan intruder pakar itb usul kpu hentikan hitung suara ,-1
44, sudah x kami ke bawaslu menyerahkan bukti kecurangan pemilu termasuk meminta bawaslu untuk melihat proses input data di kpu, x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu ,-1
45, penipuan yang dilakukan oleh kpu adalah kesalahan manusia atau tatanan manusia yang sangat besar dan terstruktur, tipu dilakukan kpu salah manusia tatanan manusia sangat besar struktur ,-1
46, luar biasa tim it bpn   temukan  kesalahan input data situng kpuid bukti sudah diserahkan ke bawasluri kesal, luar biasa tim it bpn  temukan  salah input data situng kpuid bukti diserahkan bawasluri kesal ,-1
47, kembalikan indonesia kami pemilu terburuk sepanjang sejarah dunia, kembalikan indonesia pemilu terburuk panjang sejarah dunia ,-1
48, berbeda itulah demokrasi tapi bangsa indonesia paling tak suka ketidak adilan seperti fraud  kecurangan inkompetensi, beda demokrasi bangsa indonesia paling suka ketidak adilan fraud  curang inkompetensi ,-1
49, viralkan yok bawa bukti  lebih kesalahan input situng kpu it bpn desak bawasluri hentikan situng kpuid, viralkan yok bawa bukti  lebih salah input situng kpu it bpn desak bawasluri hentikan situng kpuid ,-1
50,bawa bukti  ribu lebih kesalahan input relawan it bpn desak bawaslu hentikan situng kpu,bawa bukti  ribu lebih salah input relawan it bpn desak bawaslu hentikan situng kpu ,-1
51, bukan cuma situng kpu yang direvisi bap juga direvisi hehehe banyak yang ajaib sejak rezim ini berkuasa  , bukan situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa  ,-1
52, pemikir lantas siapa yang bertanggung jawab atas semua ini bang mereka kok bisa lulus menjadi kpu sedang tugasnya, pikir lantas siapa bertanggung jawab atas semua bang lulus jadi kpu sedang tugasnya ,-1
53, forensik ada mayat dimana , forensik mayat ,-1
54, pantesan klo kampret itu tidak pintar ga enak bilang dungu itu kenapa data belum tersedia karena sedang diperbaiki sama kpu, pantesan klo kampret pintar enak bilang dungu data sedia sedang diperbaiki sama kpu ,1
55, bukannya ada hampir  salah input, bukannya hampir  salah input ,-1
56, potret kecurangan bpn prabowo sandiaga terstruktur sistematis dan masif bawasluri kpuid  saksi prabowo, potret curang bpn prabowo sandiaga struktur sistematis masif bawasluri kpuid  saksi prabowo ,-1
57, kpu salah input suara jokowimaruf membengkak di johor baru , kpu salah input suara jokowimaruf bengkak johor baru ,-1
58, bpn prabowo sandiaga laporkan kpu dan lembaga survei ke bawaslu, bpn prabowo sandiaga laporkan kpu lembaga survei bawaslu ,-1
59, ternyata ruang kpu cuma macam kantor kalurahan sempit dan peralatan gak memadai t cuma dihargai segitu, nyata ruang kpu macam kantor kalurahan sempit alat t dihargai segitu ,-1
60, kpuid kpu nya emang pekok bin bahlul, kpuid kpu emang pekok bahlul ,-1
61, kpkri spertinya harus memeriksa kpuid semoga banyak yang ketangkep amin , kpkri spertinya periksa kpuid moga banyak ketangkep amin ,-1
62, hukum dan kpuid mantap, hukum kpuid mantap ,1
63, kpuid data di tampilan depan belum diperbaiki tetapi begitu dibuka eh data belum tersedia bikin naik, kpuid data tampilan depan diperbaiki dibuka eh data sedia naik ,-1
